text,label
Scientists discover that eating chocolate can make you fly! New research shows amazing results.,fake
Research team develops new method for detecting early signs of disease.,real
Climate scientists present new data on global temperature trends at international conference.,real
BREAKING: Government admits to hiding aliens in secret base. Full story revealed!,fake
Scientists baffled by mysterious phenomenon that defies all logic.,fake
Local woman discovers secret to eternal youth in her backyard.,fake
Stock market shows mixed results as investors await Federal Reserve decision on interest rates.,real
Celebrity caught in massive scandal. You won't believe what happened next!,fake
Economic indicators suggest continued growth in manufacturing sector.,real
City council votes to approve budget for public transportation expansion.,real
University study reveals trends in social media usage among teenagers.,real
Miracle cure found! This simple trick doctors don't want you to know.,fake
Breaking news: Major corporation hiding dangerous truth from public.,fake
International trade negotiations continue as countries seek agreement on tariffs.,real
New study proves that water is actually dangerous. Experts shocked!,fake
Local government announces infrastructure improvements scheduled for next quarter.,real
Shocking revelation: Historical event never actually happened.,fake
New research published in Nature shows promising results in cancer treatment studies.,real
Technology company reports quarterly earnings beating analyst expectations.,real
URGENT: Your phone is spying on you right now. Here's the proof!,fake
